447: 1027,65,184,110,704,1186
1: 118,6,78,261,186
90: 83,19,211,372,224,283
313: 698,1459,1227,1374
241: 712,217,557,124,641,702
5: 1064,94,422,371,55,338
6: 1,78,100,261,66,329
7: 1443,349,1420,152,1013
8: 482,381,912,624,1019,498
9: 24,404,84,338,287,23
10: 160,410,113,171,118
64: 402,246,259,42,317,340
12: 160,113,53,566,190,793
13: 363,621,249,1224,93,303
14: 258,165,153,77,61,233
15: 288,455,406,688,703,668
16: 34,1129,1205,264,589,164
17: 276,44,32,63,157,226
18: 414,617,774,114,380,229
19: 83,623,356,90,283,149
20: 442,624,812,297,446
21: 358,41,423,257,530,389
22: 276,32,319,232,532,94
23: 33,913,981,9,404,287
24: 854,55,388,9,84,338
25: 227,940,448,955,917,676
26: 651,235,198,675,250,935
27: 278,283,192,149,780,112
28: 384,225,434,354,38,259
29: 46,768,287,86,220,33
30: 620,692,642,242,277,520
31: 176,721,263,182,237,345
32: 17,276,22,371,63,94
33: 23,220,212,913,287,29
34: 16,264,589,81,472,1408
35: 258,77,608,216,557,124
36: 622,530,389,421,650,324
37: 255,207,648,491,766
38: 409,246,638,259,28,225
39: 651,85,333,1346,144,801
40: 323,326,458,346,167,260
41: 358,45,21,389,410,547
42: 340,885,485,64,402,266
43: 207,766,308,286,166,836
44: 17,276,143,108,300,226
45: 358,41,108,226,410,171
46: 735,29,317,768,340,220
47: 812,573,95,297,256,1073
48: 344,121,91,457,435,221
49: 794,138,1408,105,876,1266
52: 333,1058,304,936,519,85
53: 104,324,566,12,547,113
54: 102,240,79,319,450,143
55: 24,388,338,371,88,5
56: 66,649,337,501,71,78
57: 102,79,472,120,1300,488
58: 570,1065,1394,346,141,1043
59: 804,683,162,195,196,145
60: 278,149,356,735,768
61: 77,14,233,70,179,293
99: 649,290,71,181,201,452
63: 17,371,32,157,186,88
65: 266,1027,447,302,184,402
66: 154,329,649,56,6,78
67: 312,608,733,561,557,702
68: 116,570,1065,903,200,215
69: 663,1478,875,610,1415
70: 765,183,216,179,77,61
71: 1419,501,181,649,99,56
72: 904,244,1205,204,846,1436
73: 639,493,126,110,820,1186
74: 559,536,503,819,127,565
203: 843,1095,473,677,847
76: 381,274,913,981,446
77: 258,14,35,61,216,70
78: 1,6,337,66,56
79: 54,102,240,57,331,120
80: 605,130,1477,411,622,421
81: 102,450,472,34,1408,876
82: 725,195,280,136,1436
83: 623,19,90,675,998,224
84: 854,24,9,287,86,780
85: 519,1080,651,39,52,333
86: 278,780,84,287,29,768
87: 1077,767,282,275,648,491
88: 261,186,371,63,55,388
89: 956,164,1409,139,152,1013
91: 344,308,121,407,48,362
92: 539,359,390,674,318,752
93: 253,303,362,363,13,344
94: 532,5,422,22,371,32
95: 812,573,47,765,179,115
96: 390,98,554,318,298,1254
97: 176,263,473,536,503,238
